Source	Target	Type	Weight
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
1	7	undirected	1
1	1	undirected	1
1	2	undirected	1
1	3	undirected	1
1	4	undirected	1
1	5	undirected	1
1	6	undirected	1
