Id,SteamID
1,347722452
2,408160746
3,205465501
4,112505012
5,83615933
6,302287350
7,77953625
8,402808113
9,198551817
10,113109569
11,133182599
12,371282011
13,142132784
14,144410807
15,86766995
16,39862280
17,161181213
18,172905082
19,130680095
20,369712019
21,367515911
22,344011148
23,352850433
24,90068970
25,219962042
26,318956995
27,169031685
28,199137831
29,85954636
30,503114
31,29550446
32,124361627
33,85681397
34,119787601
35,324947150
36,419051443
37,173591590
38,121203200
39,124215868
40,113081614
41,335189236
42,109991449
43,87292231
44,52234710
45,372080517
46,312937453
47,65298623
48,122446929
49,61654498
50,167076534
51,85662300
52,4785887
53,185494112
54,175279455
55,174542527
56,420088832
57,210182342
58,148807543
59,96410401
60,393223681
61,53928604
62,180846016
63,162763360
64,123846465
65,14631471
66,64735030
67,226659574
68,123463462
69,116604075
70,351130893
71,303068536
72,83847929
73,389858081
74,127471687
75,100350225
76,119100112
77,39440403
78,298505694
79,191574644
80,212012031
81,124702677
82,392750206
83,201800221
84,155249606
