Source,Target,Type,Weight
83615933,112965850,Undirected,3
83615933,102240858,Undirected,3
83615933,71864965,Undirected,3
83615933,245920071,Undirected,3
83615933,174616480,Undirected,3
83615933,170321354,Undirected,3
83615933,179381057,Undirected,41
83615933,297625057,Undirected,41
83615933,132415110,Undirected,41
83615933,71006164,Undirected,41
83615933,44967732,Undirected,42
83615933,138707765,Undirected,41
83615933,344839250,Undirected,41
83615933,102309164,Undirected,41
83615933,394415595,Undirected,41
83615933,112332127,Undirected,41
83615933,340374222,Undirected,41
83615933,189277280,Undirected,41
83615933,37948326,Undirected,43
83615933,173618719,Undirected,43
83615933,74197456,Undirected,43
83615933,10300373,Undirected,43
83615933,156115328,Undirected,43
83615933,99058196,Undirected,45
83615933,58688470,Undirected,43
83615933,46333111,Undirected,43
83615933,114958061,Undirected,50
83615933,347722452,Undirected,39
83615933,408160746,Undirected,39
83615933,205465501,Undirected,39
83615933,112505012,Undirected,39
83615933,302287350,Undirected,39
83615933,77953625,Undirected,39
83615933,402808113,Undirected,40
83615933,198551817,Undirected,40
83615933,113109569,Undirected,39
83615933,133182599,Undirected,39
83615933,371282011,Undirected,39
83615933,142132784,Undirected,39
83615933,144410807,Undirected,1
83615933,86766995,Undirected,1
83615933,39862280,Undirected,1
83615933,161181213,Undirected,1
83615933,172905082,Undirected,1
83615933,130680095,Undirected,2
83615933,369712019,Undirected,2
83615933,367515911,Undirected,2
83615933,344011148,Undirected,2
83615933,352850433,Undirected,2
83615933,90068970,Undirected,2
83615933,219962042,Undirected,2
83615933,318956995,Undirected,2
83615933,169031685,Undirected,2
83615933,199137831,Undirected,2
83615933,85954636,Undirected,2
83615933,503114,Undirected,2
83615933,29550446,Undirected,2
83615933,124361627,Undirected,2
83615933,85681397,Undirected,2
83615933,119787601,Undirected,2
83615933,324947150,Undirected,2
83615933,419051443,Undirected,2
83615933,173591590,Undirected,2
83615933,121203200,Undirected,1
83615933,124215868,Undirected,1
83615933,113081614,Undirected,1
83615933,335189236,Undirected,1
83615933,109991449,Undirected,1
83615933,87292231,Undirected,1
83615933,52234710,Undirected,1
83615933,372080517,Undirected,2
83615933,312937453,Undirected,2
83615933,65298623,Undirected,2
83615933,122446929,Undirected,2
83615933,61654498,Undirected,2
83615933,167076534,Undirected,1
83615933,85662300,Undirected,1
83615933,4785887,Undirected,1
83615933,185494112,Undirected,1
83615933,175279455,Undirected,1
83615933,174542527,Undirected,1
83615933,420088832,Undirected,1
83615933,210182342,Undirected,1
83615933,148807543,Undirected,1
83615933,96410401,Undirected,1
83615933,393223681,Undirected,1
83615933,53928604,Undirected,1
83615933,180846016,Undirected,2
83615933,162763360,Undirected,1
83615933,123846465,Undirected,1
83615933,14631471,Undirected,1
83615933,64735030,Undirected,1
83615933,226659574,Undirected,1
83615933,123463462,Undirected,1
83615933,116604075,Undirected,1
83615933,351130893,Undirected,1
83615933,303068536,Undirected,1
83615933,83847929,Undirected,1
83615933,389858081,Undirected,1
83615933,127471687,Undirected,1
83615933,100350225,Undirected,1
83615933,119100112,Undirected,1
83615933,39440403,Undirected,1
83615933,298505694,Undirected,1
83615933,191574644,Undirected,2
83615933,212012031,Undirected,1
83615933,124702677,Undirected,1
83615933,392750206,Undirected,1
83615933,201800221,Undirected,1
83615933,155249606,Undirected,1
83615933,118323592,Undirected,1
83615933,36325674,Undirected,1
83615933,216173203,Undirected,1
83615933,53793503,Undirected,1
83615933,341974790,Undirected,1
83615933,115279950,Undirected,1
83615933,326568851,Undirected,1
83615933,185801230,Undirected,1
83615933,84419008,Undirected,1
83615933,21547571,Undirected,1
83615933,191255685,Undirected,1
83615933,302261716,Undirected,1
83615933,167720314,Undirected,1
83615933,91561640,Undirected,1
83615933,74400819,Undirected,1
83615933,235729526,Undirected,1
83615933,401608640,Undirected,1
83615933,385686755,Undirected,1
83615933,125698681,Undirected,1
83615933,196895895,Undirected,1
83615933,199891723,Undirected,1
83615933,111267964,Undirected,1
83615933,76348711,Undirected,1
83615933,52127434,Undirected,2
83615933,108002569,Undirected,1
83615933,114388136,Undirected,2
83615933,192465520,Undirected,1
83615933,185618687,Undirected,1
83615933,382898449,Undirected,1
83615933,130643254,Undirected,3
83615933,74010108,Undirected,2
83615933,22118529,Undirected,1
83615933,105369041,Undirected,1
83615933,97407961,Undirected,1
83615933,100253422,Undirected,1
83615933,109068121,Undirected,1
83615933,127580661,Undirected,2
83615933,102188932,Undirected,2
83615933,86748890,Undirected,2
83615933,237017177,Undirected,2
83615933,115162951,Undirected,2
83615933,127672385,Undirected,2
83615933,397643035,Undirected,2
83615933,431704569,Undirected,2
83615933,225996695,Undirected,1
83615933,155888525,Undirected,1
83615933,192011932,Undirected,2
83615933,137983406,Undirected,1
83615933,236700374,Undirected,1
83615933,364401241,Undirected,1
83615933,371741833,Undirected,1
83615933,75512454,Undirected,1
83615933,124526415,Undirected,1
83615933,268714576,Undirected,1
83615933,162746581,Undirected,1
83615933,136396379,Undirected,1
83615933,146490772,Undirected,1
83615933,127811780,Undirected,1
83615933,81433630,Undirected,2
83615933,94009672,Undirected,2
83615933,101152568,Undirected,2
83615933,89389949,Undirected,2
83615933,135938996,Undirected,2
83615933,66033720,Undirected,4
83615933,306196059,Undirected,2
83615933,408832333,Undirected,2
83615933,168097501,Undirected,2
83615933,206907497,Undirected,2
83615933,408612402,Undirected,2
83615933,207405297,Undirected,2
83615933,85567438,Undirected,2
83615933,92225984,Undirected,2
83615933,159405374,Undirected,2
83615933,180307712,Undirected,2
83615933,115261354,Undirected,2
83615933,73336590,Undirected,2
83615933,159366841,Undirected,2
83615933,115958696,Undirected,1
83615933,102069275,Undirected,1
83615933,99582779,Undirected,1
83615933,180519,Undirected,1
83615933,143702395,Undirected,1
83615933,164181012,Undirected,1
83615933,178524446,Undirected,1
83615933,212312191,Undirected,1
83615933,183140912,Undirected,2
83615933,415715049,Undirected,1
83615933,49582166,Undirected,2
83615933,108976559,Undirected,2
83615933,190316518,Undirected,1
83615933,7843575,Undirected,1
83615933,113654151,Undirected,1
83615933,83503076,Undirected,1
83615933,31163589,Undirected,1
83615933,40187729,Undirected,1
83615933,116152674,Undirected,1
83615933,232735077,Undirected,1
83615933,328535305,Undirected,1
83615933,178674194,Undirected,1
83615933,188992031,Undirected,1
83615933,123726694,Undirected,1
83615933,150326229,Undirected,1
83615933,281438084,Undirected,1
83615933,134683662,Undirected,1
83615933,362152763,Undirected,1
83615933,63920819,Undirected,1
83615933,88159962,Undirected,1
83615933,167297801,Undirected,2
83615933,436088893,Undirected,2
83615933,75860767,Undirected,2
83615933,108081621,Undirected,2
83615933,59524231,Undirected,2
83615933,137767055,Undirected,2
83615933,115485410,Undirected,1
83615933,409542040,Undirected,1
83615933,234682235,Undirected,1
83615933,48155627,Undirected,1
83615933,93941222,Undirected,1
83615933,146059023,Undirected,2
